Age,Sex,StateFrom,StateTo,MeanDays,StdDays,Count,Chance
56,MALE,H,R,7.103,3.922,29,0.935
56,MALE,H,U,1.5,0.707,2,0.065
56,MALE,I,Is,0.0,0.0,5,0.833
56,MALE,I,Iv,4.0,0.0,1,0.167
56,MALE,Is,H,2.8,1.789,5,1.0
56,MALE,Iv,H,0.0,0.0,31,1.0
56,MALE,U,H,8.0,1.414,2,1.0
57,FEMALE,H,D,9.5,7.778,2,0.111
57,FEMALE,H,R,6.25,3.066,16,0.889
57,FEMALE,I,Is,0.0,0.0,1,1.0
57,FEMALE,Is,H,2.0,0.0,1,1.0
57,FEMALE,Iv,H,0.0,0.0,19,1.0
57,MALE,H,R,8.385,4.491,26,0.963
57,MALE,H,U,1.0,0.0,1,0.037
57,MALE,I,Is,0.0,0.0,2,0.667
57,MALE,I,Iv,0.0,0.0,1,0.333
57,MALE,Is,H,1.5,2.121,2,1.0
57,MALE,Iv,H,0.036,0.189,28,1.0
57,MALE,U,H,10.0,0.0,1,1.0
58,FEMALE,H,D,0.0,0.0,1,0.071
58,FEMALE,H,R,5.417,3.728,12,0.857
58,FEMALE,H,U,0.0,0.0,1,0.071
58,FEMALE,I,Is,0.0,0.0,1,1.0
58,FEMALE,Is,H,0.0,0.0,1,1.0
58,FEMALE,Iv,H,0.0,0.0,13,1.0
58,FEMALE,U,H,0.0,0.0,1,1.0
58,MALE,H,D,0.0,0.0,1,0.04
58,MALE,H,R,7.143,3.275,21,0.84
58,MALE,H,U,1.667,2.082,3,0.12
58,MALE,I,Is,0.0,0.0,4,1.0
58,MALE,Is,H,9.25,5.439,4,1.0
58,MALE,Iv,H,0.0,0.0,24,1.0
58,MALE,U,H,7.333,11.846,3,1.0
59,FEMALE,H,R,7.0,3.428,9,0.692
59,FEMALE,H,U,2.25,2.63,4,0.308
59,FEMALE,Iv,H,0.0,0.0,12,1.0
59,FEMALE,U,D,0.0,0.0,2,0.5
59,FEMALE,U,H,2.0,2.828,2,0.5
59,MALE,H,R,10.053,7.457,19,0.95
59,MALE,H,U,0.0,0.0,1,0.05
59,MALE,I,Is,0.0,0.0,2,1.0
59,MALE,Is,H,6.0,1.414,2,1.0
